Time	LH_RectusFemoris	LH_RectusFemoris	
4.725	0.04622198	0.001710874	
4.72554	0.0462229	0.001703975	
4.72608	0.04622383	0.001710874	
4.72662	0.04622474	0.001690178	
4.72716	0.04622565	0.001690178	
4.7277	0.04622657	0.001703975	
4.72824	0.04622748	0.001683279	
4.72878	0.04622839	0.001683279	
4.72932	0.0462293	0.001676381	
4.72986	0.0462302	0.001669482	
4.7304	0.0462311	0.001676381	
4.73094	0.046232	0.001669482	
4.73148	0.0462329	0.001662583	
4.73202	0.0462338	0.001662583	
4.73256	0.04623469	0.001655684	
4.7331	0.04623559	0.001655684	
4.73364	0.04623648	0.001655684	
4.73418	0.04623737	0.001648786	
4.73472	0.04623825	0.001634988	
4.73526	0.04623914	0.001634988	
4.7358	0.04624002	0.001641887	
4.73634	0.0462409	0.00162809	
4.73688	0.04624179	0.001634988	
4.73742	0.04624266	0.001621191	
4.73796	0.04624354	0.001621191	
4.7385	0.04624441	0.001621191	
4.73904	0.04624528	0.001614292	
4.73958	0.04624615	0.001607394	
4.74012	0.04624702	0.001600495	
4.74066	0.04624788	0.001600495	
4.7412	0.04624875	0.001607394	
4.74174	0.04624961	0.001593596	
4.74228	0.04625047	0.001600495	
4.74282	0.04625133	0.001579799	
4.74336	0.04625218	0.001586698	
4.7439	0.04625304	0.001579799	
4.74444	0.04625389	0.001579799	
4.74498	0.04625474	0.0015729	
4.74552	0.04625559	0.0015729	
4.74606	0.04625643	0.001566002	
4.7466	0.04625728	0.0015729	
4.74714	0.04625812	0.001552204	
4.74768	0.04625897	0.001566002	
4.74822	0.0462598	0.001545305	
4.74876	0.04626064	0.001545305	
4.7493	0.04626147	0.001545305	
4.74984	0.04626231	0.001552204	
4.75038	0.04626314	0.001538407	
4.75092	0.04626397	0.001531508	
4.75146	0.0462648	0.001538407	
4.752	0.04626562	0.001524609	
4.75254	0.04626645	0.001531508	
4.75308	0.04626727	0.001517711	
4.75362	0.04626809	0.001517711	
4.75416	0.04626891	0.001517711	
4.7547	0.04626973	0.001517711	
4.75524	0.04627054	0.001503913	
4.75578	0.04627135	0.001503913	
4.75632	0.04627216	0.001497015	
4.75686	0.04627297	0.001503913	
4.7574	0.04627378	0.001497015	
4.75794	0.04627458	0.001490116	
4.75848	0.04627539	0.001490116	
4.75902	0.04627619	0.001483217	
4.75956	0.04627699	0.001476319	
4.7601	0.04627779	0.001483217	
4.76064	0.04627858	0.00146942	
4.76118	0.04627938	0.001476319	
